Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0001,15/01/2025,09:30:00,Card payment,Tesco Express,ğŸ›’,Groceries,-15.50,GBP,-15.50,GBP,Weekly shop,123 High Street,,"Tesco Express",,15.50,
tx_0002,15/01/2025,12:15:00,Card payment,Pret A Manger,ğŸ¥,Eating out,-8.95,GBP,-8.95,GBP,Lunch,45 City Road,,"Pret A Manger",,8.95,
tx_0003,14/01/2025,08:00:00,Card payment,TfL,ğŸš‡,Transport,-2.80,GBP,-2.80,GBP,Tube fare,Kings Cross,,"TfL Travel Charge",,2.80,
tx_0004,13/01/2025,19:45:00,Card payment,Netflix,ğŸ“º,Entertainment,-15.99,GBP,-15.99,GBP,Monthly sub,,,"Netflix.com",,15.99,
tx_0005,12/01/2025,14:00:00,Card payment,Sainsburys,ğŸ›’,Groceries,-45.23,GBP,-45.23,GBP,Big shop,78 Market Street,,"Sainsburys",,45.23,
tx_0006,11/01/2025,20:30:00,Card payment,Nandos,ğŸ—,Eating out,-28.50,GBP,-28.50,GBP,Dinner with friends,22 Restaurant Row,,"Nandos",,28.50,
tx_0007,10/01/2025,08:15:00,Card payment,TfL,ğŸš‡,Transport,-2.80,GBP,-2.80,GBP,Tube fare,Victoria,,"TfL Travel Charge",,2.80,
tx_0008,10/01/2025,09:00:00,Card payment,Costa Coffee,â˜•,Eating out,-4.25,GBP,-4.25,GBP,Morning coffee,10 Station Road,,"Costa Coffee",,4.25,
tx_0009,09/01/2025,11:00:00,Card payment,Amazon,ğŸ“¦,Shopping,-34.99,GBP,-34.99,GBP,Headphones,,,"Amazon UK",,34.99,
tx_0010,08/01/2025,18:00:00,Card payment,Spotify,ğŸµ,Entertainment,-10.99,GBP,-10.99,GBP,Premium sub,,,"Spotify UK",,10.99,
tx_0011,07/01/2025,12:00:00,Card payment,Greggs,ğŸ¥ª,Eating out,-3.50,GBP,-3.50,GBP,Lunch,5 Main Street,,"Greggs",,3.50,
tx_0012,06/01/2025,09:30:00,Card payment,Boots,ğŸ’Š,Health,-12.50,GBP,-12.50,GBP,Pharmacy,88 High Street,,"Boots",,12.50,
tx_0013,05/01/2025,16:00:00,Card payment,Shell,â›½,Transport,-65.00,GBP,-65.00,GBP,Petrol,Motorway Services,,"Shell",,65.00,
tx_0014,04/01/2025,10:00:00,Card payment,Council Tax,ğŸ›ï¸,Bills,-145.00,GBP,-145.00,GBP,Monthly payment,,,"Council Tax Direct Debit",,145.00,
tx_0015,03/01/2025,08:00:00,Card payment,Octopus Energy,âš¡,Bills,-85.00,GBP,-85.00,GBP,Energy bill,,,"Octopus Energy",,85.00,
tx_0016,02/01/2025,09:00:00,Bank transfer,Salary,ğŸ’°,Income,3500.00,GBP,3500.00,GBP,January salary,,,"ACME Corp Payroll",,,3500.00
tx_0017,01/01/2025,12:00:00,Card payment,M&S,ğŸ›ï¸,Shopping,-55.00,GBP,-55.00,GBP,New year clothes,Oxford Street,,"Marks Spencer",,55.00,
tx_0018,31/12/2024,20:00:00,Card payment,The Crown Pub,ğŸº,Eating out,-42.00,GBP,-42.00,GBP,NYE drinks,15 Pub Lane,,"The Crown",,42.00,
tx_0019,30/12/2024,14:00:00,Card payment,Vue Cinema,ğŸ¬,Entertainment,-12.50,GBP,-12.50,GBP,Movie tickets,Shopping Centre,,"Vue Cinema",,12.50,
tx_0020,29/12/2024,10:00:00,Card payment,Lidl,ğŸ›’,Groceries,-32.80,GBP,-32.80,GBP,Weekly shop,100 Store Road,,"Lidl",,32.80,
